protocol,feature_set,model,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_reference,AF+T+ES,xgboost,4,1322,337,241,60,30.68285861142665,45.96854209851909,0.2983852933527855
random_row,AF,median,0,1332,333,1332,333,43.02102102102102,72.05107464401456,-0.36460316672639603
random_row,AF,median,1,1332,333,1332,333,40.433933933933936,67.76831334992995,-0.27439809101332235
random_row,AF,median,2,1332,333,1332,333,50.870870870870874,83.507988145351,-0.42082776518346
random_row,AF,median,3,1332,333,1332,333,38.554054054054056,70.02769186277402,-0.23178250300196335
random_row,AF,median,4,1332,333,1332,333,38.692192192192195,69.47372415775872,-0.2574158188199911
random_row,AF,xgboost,0,1332,333,1332,333,17.207550965271913,34.87403352877696,0.6803094411113831
random_row,AF,xgboost,1,1332,333,1332,333,16.93851560300535,29.958266074471105,0.7509508259121525
random_row,AF,xgboost,2,1332,333,1332,333,19.517617532082863,35.718742916051184,0.7400572402585859
random_row,AF,xgboost,3,1332,333,1332,333,19.204896027619416,40.31975565798358,0.591652228538956
random_row,AF,xgboost,4,1332,333,1332,333,16.669712009372653,31.86731155909203,0.7354373010137655
random_row,AF+ES,median,0,1332,333,1332,333,43.02102102102102,72.05107464401456,-0.36460316672639603
random_row,AF+ES,median,1,1332,333,1332,333,40.433933933933936,67.76831334992995,-0.27439809101332235
random_row,AF+ES,median,2,1332,333,1332,333,50.870870870870874,83.507988145351,-0.42082776518346
random_row,AF+ES,median,3,1332,333,1332,333,38.554054054054056,70.02769186277402,-0.23178250300196335
random_row,AF+ES,median,4,1332,333,1332,333,38.692192192192195,69.47372415775872,-0.2574158188199911
random_row,AF+ES,xgboost,0,1332,333,1332,333,13.091643370665587,26.87415722160146,0.8101567515779324
random_row,AF+ES,xgboost,1,1332,333,1332,333,12.8947723663605,23.96835901091257,0.8405853019583656
random_row,AF+ES,xgboost,2,1332,333,1332,333,15.232163346207535,29.84476520815167,0.8185229434184842
random_row,AF+ES,xgboost,3,1332,333,1332,333,15.228344708233625,33.53567443376289,0.7175064760103114
random_row,AF+ES,xgboost,4,1332,333,1332,333,12.917882604283971,24.664332699826744,0.841519256600469
random_row,AF+T,median,0,1332,333,1332,333,43.02102102102102,72.05107464401456,-0.36460316672639603
random_row,AF+T,median,1,1332,333,1332,333,40.433933933933936,67.76831334992995,-0.27439809101332235
random_row,AF+T,median,2,1332,333,1332,333,50.870870870870874,83.507988145351,-0.42082776518346
random_row,AF+T,median,3,1332,333,1332,333,38.554054054054056,70.02769186277402,-0.23178250300196335
random_row,AF+T,median,4,1332,333,1332,333,38.692192192192195,69.47372415775872,-0.2574158188199911
random_row,AF+T,xgboost,0,1332,333,1332,333,17.338722572670328,35.11516804520803,0.6758731925752042
random_row,AF+T,xgboost,1,1332,333,1332,333,16.90524484445383,29.939202540909214,0.7512676831489314
random_row,AF+T,xgboost,2,1332,333,1332,333,19.47727366037913,35.476213236056935,0.743575270060628
random_row,AF+T,xgboost,3,1332,333,1332,333,19.503225423910237,40.2601848391814,0.5928579720088178
random_row,AF+T,xgboost,4,1332,333,1332,333,16.389064754451717,31.495047601546737,0.7415822755649836
random_row,AF+T+ES,median,0,1332,333,1332,333,43.02102102102102,72.05107464401456,-0.36460316672639603
random_row,AF+T+ES,median,1,1332,333,1332,333,40.433933933933936,67.76831334992995,-0.27439809101332235
random_row,AF+T+ES,median,2,1332,333,1332,333,50.870870870870874,83.507988145351,-0.42082776518346
random_row,AF+T+ES,median,3,1332,333,1332,333,38.554054054054056,70.02769186277402,-0.23178250300196335
random_row,AF+T+ES,median,4,1332,333,1332,333,38.692192192192195,69.47372415775872,-0.2574158188199911
random_row,AF+T+ES,xgboost,0,1332,333,1332,333,13.820643061274165,28.349168551434552,0.7887454354517018
random_row,AF+T+ES,xgboost,1,1332,333,1332,333,13.38254856418919,24.422691818207003,0.834484444054282
random_row,AF+T+ES,xgboost,2,1332,333,1332,333,15.353085629574887,30.255386541678106,0.8134948600355836
random_row,AF+T+ES,xgboost,3,1332,333,1332,333,15.565227153422954,34.04702093141636,0.7088259668271761
random_row,AF+T+ES,xgboost,4,1332,333,1332,333,13.211829841315925,24.91214173693621,0.8383186629510501
