protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_formula,AF+T+ES,median,pooled,3,2,855,184,10.168478260869565,26.132397018127584,-0.054276243265235946
group_formula,AF+T+ES,median,pooled,3,3,845,194,12.84020618556701,33.79036341612523,-0.077778399501375
group_formula,AF+T+ES,median,pooled,3,4,814,225,11.12888888888889,24.308389041188597,-0.018137386705149083
group_formula,AF+T+ES,median,separate,2,0,490,136,72.3529411764706,84.8103420441579,-0.1891347282823994
group_formula,AF+T+ES,median,separate,2,1,511,115,65.57391304347826,76.34709071647436,-5.720847991996791e-06
group_formula,AF+T+ES,median,separate,2,2,498,128,67.0859375,79.99799802182552,-0.00996251490455946
group_formula,AF+T+ES,median,separate,2,3,505,121,59.98347107438016,71.84004270277956,-0.013466066372206154
group_formula,AF+T+ES,median,separate,2,4,500,126,54.98412698412698,65.9782311382094,-0.018218308416956708
group_formula,AF+T+ES,median,separate,3,0,812,227,8.561674008810572,29.15553385182686,-0.055877155008583035
group_formula,AF+T+ES,median,separate,3,1,830,209,10.267942583732058,30.142722704782596,-0.06164009907894741
group_formula,AF+T+ES,median,separate,3,2,855,184,9.940217391304348,26.65744858791612,-0.09706683362171242
group_formula,AF+T+ES,median,separate,3,3,845,194,12.788659793814434,34.38165118408844,-0.115827883644543
group_formula,AF+T+ES,median,separate,3,4,814,225,10.862222222222222,24.655132438410376,-0.047390687273878296
group_formula,AF+T+ES,xgboost,pooled,2,0,490,136,21.594497456270105,32.19334095833825,0.828657329406031
group_formula,AF+T+ES,xgboost,pooled,2,1,511,115,27.49613965905231,49.57401538302036,0.5783756409611329
group_formula,AF+T+ES,xgboost,pooled,2,2,498,128,25.03388547897339,41.258408526256446,0.7313592067772117
group_formula,AF+T+ES,xgboost,pooled,2,3,505,121,22.999810084823736,37.898848644733114,0.7179487159864515
group_formula,AF+T+ES,xgboost,pooled,2,4,500,126,20.0474858359685,33.217421549751855,0.7419098668421586
group_formula,AF+T+ES,xgboost,pooled,3,0,812,227,12.58069734951473,21.336376532839907,0.4345258824531819
group_formula,AF+T+ES,xgboost,pooled,3,1,830,209,10.01795791552968,22.314211156691385,0.4181976995703328
group_formula,AF+T+ES,xgboost,pooled,3,2,855,184,10.56309227321459,23.09510437136303,0.176552749748777
group_formula,AF+T+ES,xgboost,pooled,3,3,845,194,9.292529076645055,21.695977936503063,0.5556735046703334
group_formula,AF+T+ES,xgboost,pooled,3,4,814,225,8.770844997829862,19.616286803298703,0.3369784662376466
group_formula,AF+T+ES,xgboost,separate,2,0,490,136,33.45588302612305,55.633599967694884,0.48830902157029465
group_formula,AF+T+ES,xgboost,separate,2,1,511,115,24.91305807362432,48.21815046476679,0.6011233669494053
group_formula,AF+T+ES,xgboost,separate,2,2,498,128,21.812006950378418,39.062713353665714,0.7591914896983012
group_formula,AF+T+ES,xgboost,separate,2,3,505,121,22.030278986150567,37.29624952046582,0.7268467502777891
group_formula,AF+T+ES,xgboost,separate,2,4,500,126,16.881898183671254,30.34087927340238,0.7846742887023909
group_formula,AF+T+ES,xgboost,separate,3,0,812,227,9.125369975220265,19.73404535082337,0.5162693103807039
group_formula,AF+T+ES,xgboost,separate,3,1,830,209,7.507369338040147,20.063349677965473,0.5296520645882922
group_formula,AF+T+ES,xgboost,separate,3,2,855,184,7.478513634723166,25.29097426205829,0.01252287403632335
group_formula,AF+T+ES,xgboost,separate,3,3,845,194,8.033798375080542,22.752791312356184,0.5113328815811092
group_formula,AF+T+ES,xgboost,separate,3,4,814,225,6.590303276909722,16.93808003937302,0.5056638280760906
group_host,AF,median,pooled,2,0,499,127,76.96850393700787,99.16426362910362,-0.8635551287878804
group_host,AF,median,pooled,2,1,497,129,98.6124031007752,112.21383932668068,-1.4948352400241625
group_host,AF,median,pooled,2,2,518,108,97.9074074074074,115.55013341979893,-1.4061451898721504
group_host,AF,median,pooled,2,3,490,136,91.21323529411765,109.75202664616803,-1.0940993202416034
group_host,AF,median,pooled,2,4,500,126,110.37301587301587,126.44507559749863,-1.7680041941129905
group_host,AF,median,pooled,3,0,832,207,5.98792270531401,19.22184873000081,-0.010652585084277577
group_host,AF,median,pooled,3,1,839,200,6.86,17.34877517290486,-0.03103625343801486
group_host,AF,median,pooled,3,2,867,172,9.0,20.481131418602015,-0.05044805167102684
group_host,AF,median,pooled,3,3,833,206,16.87378640776699,38.56982068873493,-0.12644327909842157
group_host,AF,median,pooled,3,4,785,254,13.527559055118111,36.439411475234024,-0.020314697270829907
group_host,AF,median,separate,2,0,499,127,70.28346456692914,80.85010919893872,-0.2387768591102768
group_host,AF,median,separate,2,1,497,129,55.7906976744186,71.9117137443088,-0.0245857319366809
group_host,AF,median,separate,2,2,518,108,64.06481481481481,74.49216961086134,-5.0058568525912506e-06
group_host,AF,median,separate,2,3,490,136,64.63970588235294,78.60872014193426,-0.07427044964806906
group_host,AF,median,separate,2,4,500,126,66.54761904761905,77.67826400231083,-0.04462863237825632
group_host,AF,median,separate,3,0,832,207,5.823671497584541,19.528778466811413,-0.04318597243202804
group_host,AF,median,separate,3,1,839,200,6.69,17.80505546186251,-0.08598283296205556
group_host,AF,median,separate,3,2,867,172,8.813953488372093,21.01024113517357,-0.10542368359216048
group_host,AF,median,separate,3,3,833,206,16.689320388349515,39.285116626395734,-0.16861157069977217
group_host,AF,median,separate,3,4,785,254,13.173228346456693,36.77495938536541,-0.03919210287576225
group_host,AF,xgboost,pooled,2,0,499,127,37.902844046044535,58.63107886134415,0.3485401820191141
group_host,AF,xgboost,pooled,2,1,497,129,32.52168309411337,48.78475456562021,0.5284613722866154
