protocol,feature_set,model,training_mode,Eu valence,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_formula,AF+T,median,pooled,3,5,10.697917044655043,1.4340417759664161,28.543356038482386,3.6304546071284913,-0.042016103612595355,0.02399295195162433
group_formula,AF+T,median,separate,2,5,63.996077955691206,6.693097802147475,75.79474092468936,7.26734178494631,-0.04615746776482275,0.0802057973765324
group_formula,AF+T,median,separate,3,5,10.484143199976726,1.5404728382158337,28.998497753404877,3.6965384276568813,-0.07556053172553283,0.02940550353377291
group_formula,AF+T,xgboost,pooled,2,5,28.355315751297837,3.7937748923049592,44.05959160987002,6.963741260568916,0.6446043076131899,0.08493505135400468
group_formula,AF+T,xgboost,pooled,3,5,13.083921628561637,2.495289758527679,26.34375466847282,4.207736458352905,0.09500546049132741,0.2551104909931068
group_formula,AF+T,xgboost,separate,2,5,23.642154275040742,2.8285952078500594,40.81739026783459,5.335435975971991,0.6960404150890085,0.05166859068401053
group_formula,AF+T,xgboost,separate,3,5,9.221664738405604,1.770771462274802,23.177224199917344,3.68552274312686,0.2993354297064911,0.19090178787095913
group_formula,AF+T+ES,median,pooled,2,5,95.10145118007976,7.2061860950967125,112.90740229955107,4.948836601786163,-1.3707054882892993,0.4983695575632097
group_formula,AF+T+ES,median,pooled,3,5,10.697917044655043,1.4340417759664161,28.543356038482386,3.6304546071284913,-0.042016103612595355,0.02399295195162433
group_formula,AF+T+ES,median,separate,2,5,63.996077955691206,6.693097802147475,75.79474092468936,7.26734178494631,-0.04615746776482275,0.0802057973765324
group_formula,AF+T+ES,median,separate,3,5,10.484143199976726,1.5404728382158337,28.998497753404877,3.6965384276568813,-0.07556053172553283,0.02940550353377291
group_formula,AF+T+ES,xgboost,pooled,2,5,23.434363703017606,2.9198193509227415,38.82840701242001,7.031080016163981,0.7196501519945973,0.09010624832446286
group_formula,AF+T+ES,xgboost,pooled,3,5,10.245024322546783,1.473817045822812,21.61159136013922,1.2998644162913369,0.3843856605360544,0.14003462273959502
group_formula,AF+T+ES,xgboost,separate,2,5,23.81862504398952,6.1118205634943275,42.11031851599912,9.88897883935164,0.6720289834396362,0.12457115004615346
group_formula,AF+T+ES,xgboost,separate,3,5,7.747070919994769,0.9286565784895934,20.955848128515264,3.1801784277623155,0.4150881917325039,0.22521563054634164
group_host,AF,median,pooled,2,5,95.0149131224648,12.2199162868291,112.62506772384998,9.863637103765967,-1.3253278146077574,0.3528197919490651
group_host,AF,median,pooled,3,5,10.449853633639822,4.6270167286002994,26.412197497095327,10.214904628529565,-0.04777897331251415,0.04639011428695276
group_host,AF,median,separate,2,5,64.26526039722691,5.325094920113938,76.70819533967078,3.5222678730202506,-0.07645333578602713,0.09473792593427767
group_host,AF,median,separate,3,5,10.238034744152568,4.591775495041607,26.880830215121726,10.279181409987382,-0.0884792325123557,0.05290377730609529
group_host,AF,xgboost,pooled,2,5,38.83065719261816,4.409547713009079,59.172859790448136,6.85272725870263,0.3588152500876386,0.11285955909207779
group_host,AF,xgboost,pooled,3,5,14.431874695446577,3.050584991430279,27.458118675518914,7.560602204296629,-0.2539069337775354,0.3927504665914333
group_host,AF,xgboost,separate,2,5,34.26186559115476,4.209167322542145,54.20161084344456,2.8935698907454364,0.4603799596949905,0.07560789368655961
group_host,AF,xgboost,separate,3,5,8.694832127505165,3.3084953085676627,21.697601963238498,10.347432819764691,0.2831718666647465,0.2959953076500328
group_host,AF+ES,median,pooled,2,5,95.0149131224648,12.2199162868291,112.62506772384998,9.863637103765967,-1.3253278146077574,0.3528197919490651
group_host,AF+ES,median,pooled,3,5,10.449853633639822,4.6270167286002994,26.412197497095327,10.214904628529565,-0.04777897331251415,0.04639011428695276
group_host,AF+ES,median,separate,2,5,64.26526039722691,5.325094920113938,76.70819533967078,3.5222678730202506,-0.07645333578602713,0.09473792593427767
group_host,AF+ES,median,separate,3,5,10.238034744152568,4.591775495041607,26.880830215121726,10.279181409987382,-0.0884792325123557,0.05290377730609529
group_host,AF+ES,xgboost,pooled,2,5,34.198140507443625,3.238172370747597,53.68764228053432,5.362738906120983,0.47279877542366044,0.08100961094033013
group_host,AF+ES,xgboost,pooled,3,5,10.989433289023937,3.422256331053674,21.81355608845383,9.126704990106841,0.264703136941107,0.24308815348206164
group_host,AF+ES,xgboost,separate,2,5,34.07993115197514,7.121642594876411,53.168538545212904,8.904756117084792,0.47026278281790734,0.19784997643083596
group_host,AF+ES,xgboost,separate,3,5,8.19959254442524,3.2891656854487965,21.582688492004756,10.706111039585744,0.30003486158331844,0.2913000901276092
group_host,AF+T,median,pooled,2,5,95.0149131224648,12.2199162868291,112.62506772384998,9.863637103765967,-1.3253278146077574,0.3528197919490651
group_host,AF+T,median,pooled,3,5,10.449853633639822,4.6270167286002994,26.412197497095327,10.214904628529565,-0.04777897331251415,0.04639011428695276
group_host,AF+T,median,separate,2,5,64.26526039722691,5.325094920113938,76.70819533967078,3.5222678730202506,-0.07645333578602713,0.09473792593427767
group_host,AF+T,median,separate,3,5,10.238034744152568,4.591775495041607,26.880830215121726,10.279181409987382,-0.0884792325123557,0.05290377730609529
group_host,AF+T,xgboost,pooled,2,5,38.74250753335141,4.304533133681749,58.66362877874349,6.580608740355592,0.37020609608919974,0.10568527840999802
group_host,AF+T,xgboost,pooled,3,5,14.694687939698502,3.5598493904677335,27.687224908077958,7.867581007765965,-0.2694631689675704,0.3972099383884032
