protocol,feature_set,model,training_mode,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_reference,AF+ES,median,separate,4,1322,337,241,60,20.664688427299705,42.78959633948587,0.3920699622236844
group_reference,AF+ES,xgboost,pooled,0,1295,364,240,61,30.531211936866843,48.30809354239937,0.3225779255186607
group_reference,AF+ES,xgboost,pooled,1,1347,312,241,60,35.24393971761068,54.223390927838814,0.24929530979983683
group_reference,AF+ES,xgboost,pooled,2,1317,342,241,60,36.74960550230149,54.75708515434289,0.3986926271076199
group_reference,AF+ES,xgboost,pooled,3,1355,304,241,60,31.758338325902034,46.80750221813572,0.4988811336878788
group_reference,AF+ES,xgboost,pooled,4,1322,337,241,60,29.79163204385548,45.891634750928326,0.3007309926297793
group_reference,AF+ES,xgboost,separate,0,1295,364,240,61,27.59309588421832,45.84945639525863,0.38977790424522674
group_reference,AF+ES,xgboost,separate,1,1347,312,241,60,29.015596732115135,46.41538722484202,0.4499277469769093
group_reference,AF+ES,xgboost,separate,2,1317,342,241,60,36.888918514140165,59.47958923853693,0.29050096827410243
group_reference,AF+ES,xgboost,separate,3,1355,304,241,60,30.17066945527729,50.23797358526781,0.42273656817805505
group_reference,AF+ES,xgboost,separate,4,1322,337,241,60,24.35711561253941,41.22828382770388,0.43562503894420734
group_reference,AF+T,median,pooled,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+T,median,pooled,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+T,median,pooled,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+T,median,pooled,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+T,median,pooled,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+T,median,separate,0,1295,364,240,61,32.120879120879124,53.4577475136277,0.17045326526396876
group_reference,AF+T,median,separate,1,1347,312,241,60,32.79807692307692,53.18936899756355,0.2776536891754583
group_reference,AF+T,median,separate,2,1317,342,241,60,38.93421052631579,59.16329987949944,0.2980265864641507
group_reference,AF+T,median,separate,3,1355,304,241,60,32.48684210526316,54.923870757143185,0.3100270044396257
group_reference,AF+T,median,separate,4,1322,337,241,60,20.664688427299705,42.78959633948587,0.3920699622236844
group_reference,AF+T,xgboost,pooled,0,1295,364,240,61,35.144403478601475,52.28246549995391,0.2065278896686965
group_reference,AF+T,xgboost,pooled,1,1347,312,241,60,34.67577538123498,52.98750201857551,0.2831262549390796
group_reference,AF+T,xgboost,pooled,2,1317,342,241,60,40.35742713972839,62.00889430721484,0.22887663817261394
group_reference,AF+T,xgboost,pooled,3,1355,304,241,60,35.61077961168791,50.142731315610206,0.4249232711629445
group_reference,AF+T,xgboost,pooled,4,1322,337,241,60,35.311036514599174,49.99623723307709,0.1700501255860366
group_reference,AF+T,xgboost,separate,0,1295,364,240,61,34.278432908948965,54.238377548178136,0.146049048071356
group_reference,AF+T,xgboost,separate,1,1347,312,241,60,28.834404872013973,47.11339577204363,0.43325904404510385
group_reference,AF+T,xgboost,separate,2,1317,342,241,60,39.382498668648346,63.61041507145535,0.1885302315611056
group_reference,AF+T,xgboost,separate,3,1355,304,241,60,26.015955071700247,43.893228379674504,0.5593387421114087
group_reference,AF+T,xgboost,separate,4,1322,337,241,60,24.161574547651615,40.59247855821423,0.4528979234088861
group_reference,AF+T+ES,median,pooled,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+T+ES,median,pooled,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+T+ES,median,pooled,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+T+ES,median,pooled,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+T+ES,median,pooled,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+T+ES,median,separate,0,1295,364,240,61,32.120879120879124,53.4577475136277,0.17045326526396876
group_reference,AF+T+ES,median,separate,1,1347,312,241,60,32.79807692307692,53.18936899756355,0.2776536891754583
group_reference,AF+T+ES,median,separate,2,1317,342,241,60,38.93421052631579,59.16329987949944,0.2980265864641507
group_reference,AF+T+ES,median,separate,3,1355,304,241,60,32.48684210526316,54.923870757143185,0.3100270044396257
group_reference,AF+T+ES,median,separate,4,1322,337,241,60,20.664688427299705,42.78959633948587,0.3920699622236844
group_reference,AF+T+ES,xgboost,pooled,0,1295,364,240,61,30.61447487296639,48.061680019859025,0.3294711896996583
group_reference,AF+T+ES,xgboost,pooled,1,1347,312,241,60,35.020115974621895,53.216812072551726,0.2769081071805797
group_reference,AF+T+ES,xgboost,pooled,2,1317,342,241,60,36.7858759116011,55.196023481760136,0.3890137070550461
group_reference,AF+T+ES,xgboost,pooled,3,1355,304,241,60,31.00854532342208,45.979904855577544,0.5164449124103202
group_reference,AF+T+ES,xgboost,pooled,4,1322,337,241,60,30.68285861142665,45.96854209851909,0.2983852933527855
group_reference,AF+T+ES,xgboost,separate,0,1295,364,240,61,27.27855246407645,45.96318125770332,0.38674696359944183
group_reference,AF+T+ES,xgboost,separate,1,1347,312,241,60,28.579894432654747,46.711689935454366,0.44288231899636166
group_reference,AF+T+ES,xgboost,separate,2,1317,342,241,60,36.4741679409094,58.66452712194271,0.3098125876095411
group_reference,AF+T+ES,xgboost,separate,3,1355,304,241,60,29.230790489598323,47.340192200552416,0.4874103249322763
group_reference,AF+T+ES,xgboost,separate,4,1322,337,241,60,23.722706146693017,40.85308220165237,0.4458505850367591
random_row,AF,median,pooled,0,1332,333,1332,333,43.02102102102102,72.05107464401456,-0.36460316672639603
random_row,AF,median,pooled,1,1332,333,1332,333,40.433933933933936,67.76831334992995,-0.27439809101332235
random_row,AF,median,pooled,2,1332,333,1332,333,50.870870870870874,83.507988145351,-0.42082776518346
random_row,AF,median,pooled,3,1332,333,1332,333,38.554054054054056,70.02769186277402,-0.23178250300196335
random_row,AF,median,pooled,4,1332,333,1332,333,38.692192192192195,69.47372415775872,-0.2574158188199911
