row_id,Host,Reference,Eu valence,match_count,host_missing,host_values,reference_values,eu_valence_missing,eu_valence_values,eu_valence_invalid,status
41,Ca0.94Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,1,False,1,1,False,1,False,resolved
42,Mg3P2O8,https://doi.org/10.1002/ejic.201500236,2.0,1,False,1,1,False,1,False,resolved
43,Mg3P2O8,https://doi.org/10.1002/ejic.201500236,2.0,1,False,1,1,False,1,False,resolved
44,Mg3P2O8,https://doi.org/10.1002/ejic.201500236,2.0,1,False,1,1,False,1,False,resolved
45,Mg3P2O8,https://doi.org/10.1002/ejic.201500236,2.0,1,False,1,1,False,1,False,resolved
46,KSr0.995,https://doi.org/10.1039/C3TC30128A,2.0,1,False,1,1,False,1,False,resolved
47,K0.9Na0.1Sr0.995,https://doi.org/10.1039/C3TC30128A,2.0,1,False,1,1,False,1,False,resolved
48,Ca4.437Sr4.5YP7O28,https://doi.org/10.1039/C1JM11018G,2.0,1,False,1,1,False,1,False,resolved
49,Y2Mg1.999Al2Si2O12,https://doi.org/10.1021/acssuschemeng.9b01401,2.0,1,False,1,1,False,1,False,resolved
50,K0.8Na0.2Sr0.995,https://doi.org/10.1039/C3TC30128A,2.0,1,False,1,1,False,1,False,resolved
51,Ba0.97Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
52,Ca6.237Sr2.7YP7O28,https://doi.org/10.1039/C1JM11018G,2.0,1,False,1,1,False,1,False,resolved
53,Ba0.99Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
54,Ba0.95Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
55,Ba0.93Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
56,Sr4.995P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
57,Sr4.99P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
58,Sr4.98P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
59,Sr4.97P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
60,Sr4.95P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
61,Sr4.99P3O12Cl,https://doi.org/10.1039/C5TC02482J,2.0,1,False,1,1,False,1,False,resolved
62,KSrSc2P3O12,https://doi.org/10.1039/C4DT03906H,2.0,1,False,1,1,False,1,False,resolved
63,KSrSc2P3O12,https://doi.org/10.1039/C4DT03906H,2.0,1,False,1,1,False,1,False,resolved
64,KSrSc2P3O12,https://doi.org/10.1039/C4DT03906H,2.0,1,False,1,1,False,1,False,resolved
65,CaAl4O7,https://doi.org/10.1002/bio.1373,2.0,1,False,1,1,False,1,False,resolved
66,Ba0.9Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
67,Ba0.8Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
68,Y2Mg1.995Al2Si2O12,https://doi.org/10.1021/acssuschemeng.9b01401,2.0,1,False,1,1,False,1,False,resolved
69,Ca6.687Sr2.25YP7O28,https://doi.org/10.1039/C1JM11018G,2.0,1,False,1,1,False,1,False,resolved
70,Ba0.75Al12O19,https://doi.org/10.1021/acs.chemmater.8b00464,2.0,1,False,1,1,False,1,False,resolved
71,Ca5P3O12F,https://doi.org/10.1002/ejic.201402187,2.0,1,False,1,1,False,1,False,resolved
72,Ca5P3O12F,https://doi.org/10.1002/ejic.201402187,2.0,1,False,1,1,False,1,False,resolved
73,BaMgAl10O17,https://doi.org/10.1021/cm020592f,2.0,1,False,1,1,False,1,False,resolved
74,KMg4P3O12,https://doi.org/10.1038/srep09673,2.0,1,False,1,1,False,1,False,resolved
75,KMg4P3O12,https://doi.org/10.1038/srep09673,2.0,1,False,1,1,False,1,False,resolved
76,KMg4P3O12,,2.0,3,False,1,3,False,1,False,ambiguous_reference
77,KMg4P3O12,https://doi.org/10.1038/srep09673,2.0,1,False,1,1,False,1,False,resolved
78,KMg4P3O12,https://doi.org/10.1038/srep09673,2.0,1,False,1,1,False,1,False,resolved
79,KMg4P3O12,https://doi.org/10.1038/srep09673,2.0,1,False,1,1,False,1,False,resolved
80,KMg4P3O12Li0.005,https://doi.org/10.1021/acs.inorgchem.6b02140,2.0,1,False,1,1,False,1,False,resolved
81,KMg4P3O12Li0.01,https://doi.org/10.1021/acs.inorgchem.6b02140,2.0,1,False,1,1,False,1,False,resolved
82,KMg4P3O12Li0.02,https://doi.org/10.1021/acs.inorgchem.6b02140,2.0,1,False,1,1,False,1,False,resolved
83,KMg4P3O12Li0.025,https://doi.org/10.1021/acs.inorgchem.6b02140,2.0,1,False,1,1,False,1,False,resolved
84,KMg4P3O12Li0.03,https://doi.org/10.1021/acs.inorgchem.6b02140,2.0,1,False,1,1,False,1,False,resolved
85,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
86,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
87,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
88,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
89,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
90,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
91,KMg4P3O12,https://doi.org/10.1039/C5TC00636H,2.0,1,False,1,1,False,1,False,resolved
92,Lu2Ca0.97Mg2Si3O12,https://doi.org/10.1016/j.matlet.2015.10.144,2.0,1,False,1,1,False,1,False,resolved
93,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
94,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
