row_id,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Emission max. (nm),Formula,Host,Reference,Eu valence
31,13.0,8.0,0.01,7.99,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,192.2,64.0,0.25,63.75,408.8585444,130.1062,0.54938044,129.5568196,1149.9,480.0,1.4,478.6,36.1395,27.52,0,27.52,83.95,48.0,0.02,47.98,154.3812226,108.944432,0.05670385,108.8877282,298,365.0,416.0,Sr0.99Zn1.99P2O8Eu0.01Mn0.01,Sr0.99Zn1.99P2O8,https://doi.org/10.1063/1.2182026,2
32,12.874,8.0,0.01,7.99,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,188.4,64.0,0.35,63.65,400.5788966,127.992,0.769132616,127.2228674,1132.91,480.0,1.85,478.15,35.9312,27.52,0,27.52,82.418,48.0,0.02,47.98,153.1897128,108.944432,0.05670385,108.8877282,298,365.0,416.0,Sr0.99Zn1.86P2O8Eu0.01Mn0.014,Sr0.99Zn1.86P2O8,https://doi.org/10.1063/1.2182026,2
33,19.04,12.0,0.04,11.96,182,63,8,55,420.31797,151.964,15.999,135.965,940,220,60,160,8.7,3.44,0,3.44,19,6,1,5,45.88894254,13.618054,4.34066354,9.27739046,260.52,96.0,2.52,93.48,557.324962,191.988,6.07856,185.90944,1782.4,720.0,7.4,712.6,52.28,41.28,0,41.28,96.08,72.0,0.08,71.92,217.7788289,163.416648,0.2268154,163.1898326,298,300.0,420.0,KBaSc2P3O12Eu0.04,KBaSc2P3O12,https://doi.org/10.1002/cphc.201500387,2
34,13.07,8.0,0.07,7.93,129,63,8,55,286.0973078,151.964,15.999,135.965,840,185,60,125,8.88,3.44,0,3.44,18,6,1,5,44.6781223,13.618054,5.1390767,8.4789773,139.69,64.0,3.74,60.26,283.4057355,127.992,7.816521555,120.1754784,1137.85,480.0,12.95,467.05,35.6148,27.52,0,27.52,64.14,48.0,0.14,47.86,144.1346412,108.944432,0.39692695,108.5475051,298,365.0,420.0,Na0.34Ca0.66Al1.66Si2.34O8Eu0.07,Na0.34Ca0.66Al1.66Si2.34O8,https://doi.org/10.1021/ic300956m,2
35,13.0,8.0,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,138.43,64.0,0.63,63.37,279.321937,127.992,1.51964,126.47236,1130.05,480.0,1.85,478.15,35.53,27.52,0,27.52,64.0,48.0,0.02,47.98,143.3280623,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.99Al2Si2O8Eu0.01,Ca0.99Al2Si2O8,https://doi.org/10.1021/cm050638f,2
36,13.0,8.0,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,138.68,64.0,0.63,63.37,280.0649392,127.992,1.51964,126.47236,1128.05,480.0,1.85,478.15,35.5575,27.52,0,27.52,64.25,48.0,0.02,47.98,143.3941054,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.94Al2Si2O8Eu0.01Mn0.05,Ca0.94Al2Si2O8,https://doi.org/10.1021/cm050638f,2
37,13.0,8.0,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,138.93,64.0,0.63,63.37,280.8079414,127.992,1.51964,126.47236,1126.05,480.0,1.85,478.15,35.585,27.52,0,27.52,64.5,48.0,0.02,47.98,143.4601486,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.89Al2Si2O8Eu0.01Mn0.1,Ca0.89Al2Si2O8,https://doi.org/10.1021/cm050638f,2
38,13.0,8.0,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.18,64.0,0.63,63.37,281.5509436,127.992,1.51964,126.47236,1124.05,480.0,1.85,478.15,35.6125,27.52,0,27.52,64.75,48.0,0.02,47.98,143.5261917,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.84Al2Si2O8Eu0.01Mn0.15,Ca0.84Al2Si2O8,https://doi.org/10.1021/cm050638f,2
39,13.0,8.0,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.43,64.0,0.63,63.37,282.2939458,127.992,1.51964,126.47236,1122.05,480.0,1.85,478.15,35.64,27.52,0,27.52,65.0,48.0,0.02,47.98,143.5922349,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.79Al2Si2O8Eu0.01Mn0.2,Ca0.79Al2Si2O8,https://doi.org/10.1021/cm050638f,2
40,13.0,8.0,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.68,64.0,0.63,63.37,283.036948,127.992,1.51964,126.47236,1120.05,480.0,1.85,478.15,35.6675,27.52,0,27.52,65.25,48.0,0.02,47.98,143.658278,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.74Al2Si2O8Eu0.01Mn0.25,Ca0.74Al2Si2O8,https://doi.org/10.1021/cm050638f,2
41,12.95,8.0,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,137.43,64.0,0.63,63.37,277.318037,127.992,1.51964,126.47236,1121.05,480.0,1.85,478.15,35.48,27.52,0,27.52,63.9,48.0,0.02,47.98,143.0224045,108.944432,0.05670385,108.8877282,298,354.0,425.0,Ca0.94Al2Si2O8Eu0.01,Ca0.94Al2Si2O8,https://doi.org/10.1021/cm050638f,2
